# sensors.csv - Ingenic sensor identification database (source of truth)
# name,i2c_addr,mclk_hz,id_regs,id_vals,reg_bytes,val_bytes,soc
#   id_regs/id_vals: colon-separated, same length; widths in bytes (1-4)
#   soc: any | t41-only | not-t41
# ORDER MATTERS: first entry among identical-ID rebadges becomes the
# reported primary name. Keep vendor families grouped.

# disabled in the module source (shared Sony IDs): imx219,0x1a,24000000,0x3008:0x301e,0xA0:0xB2,2,1,any
# disabled in the module source (shared Sony IDs): imx291,0x1a,37125000,0x3008:0x301e,0xA0:0xB2,2,1,any
ov01a1s,0x36,24000000,0x300a:0x300b,0x56:0x41,2,1,any
ov02b10,0x3c,24000000,0x02:0x03,0x00:0x2b,1,1,any
ov02b1b,0x3c,24000000,0x02:0x03,0x00:0x2b,1,1,any
ov04c10,0x36,24000000,0x300a:0x300b,0x53:0x43,2,1,any
ov2710,0x36,24000000,0x300a:0x300b,0x27:0x10,2,1,any
ov2718,0x36,24000000,0x300a:0x300b,0x27:0x70,2,1,any
ov2732,0x36,24000000,0x300a:0x300b:0x300c,0x00:0x27:0x32,2,1,any
ov2735,0x3c,24000000,0x02:0x03:0x04,0x27:0x35:0x05,1,1,any
ov2735b,0x3c,24000000,0x02:0x03:0x04:0x04,0x27:0x35:0x6:0x7,1,1,any
ov2736,0x36,24000000,0x300a:0x300b,0x00:0x32,2,1,any
ov2740,0x36,24000000,0x300b:0x300c,0x27:0x40,2,1,any
ov2745,0x10,24000000,0x300b:0x300c,0x27:0x40,2,1,any
ov4688,0x36,24000000,0x300a:0x300b,0x46:0x88,2,1,any
ov4689,0x36,24000000,0x300a:0x300b,0x46:0x88,2,1,any
ov5647,0x36,24000000,0x300a:0x300b,0x56:0x47,2,1,any
ov5648,0x36,24000000,0x300a:0x300b,0x56:0x48,2,1,any
ov5695,0x36,24000000,0x300b:0x300c,0x56:0x95,2,1,any
ov64b40,0x36,24000000,0x300a:0x300b,0x56:0x42,2,1,any
ov7251,0x60,24000000,0x300a:0x300b,0x77:0x50,2,1,any
ov7740,0x21,24000000,0x0a:0x0b,0x77:0x42,1,1,any
ov9281,0x60,24000000,0x300a:0x300b,0x92:0x81,2,1,any
ov9640,0x30,24000000,0x300a:0x300b,0xa6:0x40,2,1,any
ov9712,0x30,24000000,0xa:0xb,0x97:0x11,1,1,any
ov9732,0x36,24000000,0x300a:0x300b,0x97:0x32,2,1,any
ov9734,0x30,24000000,0x300a:0x300b,0x97:0x34,2,1,any
ov9734s1,0x10,24000000,0x300a:0x300b,0x97:0x34,2,1,any
ov9750,0x36,24000000,0x300b:0x300c,0x97:0x50,2,1,any
ps5230,0x48,24000000,0x00:0x01,0x52:0x30,1,1,any
ps5250,0x48,24000000,0x00:0x01,0x52:0x50,1,1,any
ps5258,0x48,24000000,0x0100:0x0101,0x52:0x58,2,1,any
ps5260,0x48,24000000,0x00:0x01,0x52:0x60,1,1,any
ps5268,0x48,24000000,0x0100:0x0101,0x52:0x68,2,1,any
ps5270,0x48,24000000,0x00:0x01,0x52:0x70,1,1,any
ps5280,0x48,24000000,0x00:0x01,0x52:0x80,1,1,any
ps5520,0x48,24000000,0x00:0x01,0x55:0x20,1,1,any
rn6752,0x2c,27000000,0xFE:0xFD,0x26:0x01,1,1,any
s5k3p3,0x10,24000000,0x0000:0x0001,0x31:0x03,1,1,any
sc031gs,0x30,24000000,0x3107:0x3108,0x00:0x31,2,1,any
sc031iot,0x68,12000000,0xf7:0xf8,0x9a:0x46,1,1,any
